Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM2997712,0.0202639401736756,0,0,0.379574642567668,0.0024270756055931,0,0.0188789568390709,0.00046577805812339,0.0317048705173248,0,0.150743558353159,0,0.122492337924698,0.00648901950658328,0,0.0104558493622495,0,0,0.00126542215912341,0,0,0.25523854893273,0,0.758483239646992,0.675873366653348
GSM2997713,0.0316036633660703,0,0,0.344007257293341,0.00414338318394481,0,0.0680069681376994,0,0.00755015323950652,0,0.175788055613759,0,0.0978482619651409,0.000424471574747802,0,0.00385465586567961,0,0,0.0056009157787555,0,0,0.261172213981356,0,0.761824867931,0.674207031107933
GSM2997714,0.103147826178757,0,0.00813127223998517,0.239928669606134,0.0633842487478315,0,0.00817756725924862,0.00260384816895399,0.0814779644045382,0,0.0724440456838806,0,0.14762098439947,0.0347576599782442,0,0,0,0,0,0.0116395641722622,0,0.226686349160695,0,0.6531313579608,0.769460351108939
GSM2997715,0.0578452162242622,0,0,0.330496244892508,0.0729755454955322,0,0.0254517024576323,0.00137931794277447,0.0704930740037422,0,0.104542275792169,0,0.121717829636617,0,0,0.00969852183736092,0,0,0,0,0,0.205400271717402,0,0.729905257170371,0.708528541383355
GSM2997721,0.0469855525127878,0,0,0.298309236158076,0.0790790528426735,0,0.00259956432694233,0.000695159236729172,0.0371546073481344,0,0.156246196191728,0,0.101543775349129,0,0,0.00694521811030431,0,0,0,0,0,0.270441637923496,0,0.733496949777015,0.69830201647568
GSM2997722,0.0451084377479951,0,0,0.248884398036818,0,0,0.0220790254660536,0,0,0,0.129579923572324,0,0.120598954364927,0.00407338604542225,0,0.000179003741194947,0,0,0.00119782228092593,0,0,0.428299048744339,0,0.749183233848892,0.670074431090767
GSM2997723,0.0574552118399588,0,0,0.295873141229284,0.0186006867493695,0,0.029663650286786,0,0.00924159558126169,0,0.145969947108014,0,0.105729701706941,0,0,0.00605590696604185,0,0,0.00674390337142915,0,0,0.324666255160915,0,0.723277878789134,0.704154184312247
GSM2997724,0.03490260713185,0,0,0.298989862915644,0.0216464806830686,0,0.0199074556278653,0,0.0119108814328139,0,0.11373855875703,0,0.115648380624762,0,0,0.00553118497083744,0,0,0,0,0,0.377724587856129,0,0.742276745344343,0.681470680200122
GSM2997725,0.0518109764691244,0,0,0.376026320055697,0,0,0.0158770413370292,0,0.0226434371901838,0,0.120918143779004,0,0.107515330884165,0,0,0.0055210605872637,0,0,0.0037834952068725,0,0,0.29590419449066,0,0.73278921960132,0.696735614210339
GSM2997729,0.0345656999682635,0,0,0.359019915120703,0,0,0.0254287984913816,0,0.0158421976155774,0,0.168401818203797,0,0.0895606902310471,0,0,0.0113558658432537,0,0,0.0159434670411349,0,0.0235378194953392,0.256343727989503,0,0.734403929942559,0.698512426395106
